% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.949901091e+03 +2.949901091e+03 +2.487811091e+03 -4.620900000e+02 +2.0963e-01 +4.7129e+00 -1.8645e+00 +8.5005e-01 -3.4446e+00 -2.6446e+00 -4.1732e+00 +4.5785e+00 +6.4247e-01 +3.4336e-01 -4.2344e+00 +4.4476e+00 -3.5181e+00 +3.6600e+00 -9.0141e-01 -2.3856e+00 +4.0422e+00 +4.3465e+00 -2.5478e-01 +2.5624e-01
124 +7.016693107e+02 +7.016693107e+02 +2.395793107e+02 -4.620900000e+02 -2.6291e+00 +2.5178e+00 +4.3922e+00 +3.9549e-01 +2.5500e+00 +4.9285e-01 -3.3124e+00 +2.8438e+00 -4.7546e+00 +1.5901e+00 +2.4253e+00 -4.2006e+00 -1.8845e+00 -2.3152e+00 +8.9162e-01 -4.0392e+00 -3.1680e-01 +2.4894e+00 -4.5268e+00 +3.3129e+00
507 +5.072825709e+02 +5.072825709e+02 +4.519257090e+01 -4.620900000e+02 -2.6291e+00 +2.5178e+00 +4.3922e+00 +3.9549e-01 +2.5500e+00 -4.3034e+00 +5.0111e-01 +1.6303e+00 -1.0120e+00 -1.1645e+00 -1.6580e+00 -2.9835e+00 +3.6874e+00 -2.2580e+00 -1.5731e+00 -4.0392e+00 -3.1680e-01 +2.4894e+00 -4.0351e+00 +3.3129e+00
1114 +3.963840317e+02 +3.963840317e+02 -6.570596833e+01 -4.620900000e+02 -2.6291e+00 +1.8206e+00 +4.3922e+00 +3.9549e-01 +2.5500e+00 +2.4037e+00 -1.6265e+00 +1.3454e+00 +3.5477e+00 +2.9356e+00 -2.0576e+00 -2.5150e+00 -1.8845e+00 -2.3152e+00 +6.5641e-01 -4.0392e+00 -3.1680e-01 +2.7475e+00 -4.0351e+00 +3.1850e+00
1941 +2.470802478e+02 +2.470802478e+02 -2.150097522e+02 -4.620900000e+02 -2.2746e+00 +2.1285e+00 +4.3922e+00 +3.9549e-01 +2.5500e+00 +2.1771e+00 -1.6265e+00 +1.8340e+00 +3.5477e+00 +2.0544e+00 -3.3344e+00 -4.4296e+00 +3.5743e-01 -3.3344e+00 -1.5731e+00 -4.0392e+00 +1.5709e-02 +3.6900e+00 -4.0351e+00 +3.1850e+00
3873 +1.565422519e+02 +1.565422519e+02 -3.055477481e+02 -4.620900000e+02 -2.2746e+00 +2.1068e+00 +4.5210e+00 +1.5580e+00 +3.9255e+00 +2.9410e+00 +3.9323e+00 +1.8340e+00 +2.8261e+00 +2.0544e+00 -2.6828e+00 -4.4296e+00 +3.5743e-01 -3.4062e+00 -1.8364e+00 -4.0392e+00 -6.9743e-01 +3.6900e+00 -4.0351e+00 +3.1850e+00
5436 +9.910615778e+01 +9.910615778e+01 -3.629838422e+02 -4.620900000e+02 -2.2746e+00 +2.4471e+00 +4.1191e+00 +1.5580e+00 +2.4067e+00 +2.9410e+00 +3.9327e+00 +1.8340e+00 +2.5734e+00 +1.7865e+00 -3.3344e+00 -3.2817e+00 -8.9505e-02 -3.3872e+00 -1.8364e+00 -4.0392e+00 +1.5709e-02 +3.9907e+00 -4.0354e+00 +2.1906e+00
49359 +6.154480816e+01 +6.154480816e+01 -4.005451918e+02 -4.620900000e+02 -2.2746e+00 +2.4471e+00 +4.1191e+00 +6.1524e-01 +2.2451e+00 +2.9410e+00 +3.3883e+00 +1.3454e+00 +1.8416e+00 -1.0640e+00 -3.3353e+00 -3.2817e+00 -8.9505e-02 -2.9344e+00 -1.8472e+00 -4.0392e+00 -3.2561e-01 +3.6900e+00 -3.5689e+00 +2.1906e+00
51462 +3.830261275e+01 +3.830261275e+01 -4.237873873e+02 -4.620900000e+02 -2.2746e+00 +2.4471e+00 +4.0014e+00 +7.7544e-01 +2.2451e+00 +2.9410e+00 +3.1906e+00 +1.3454e+00 +1.8416e+00 -1.0640e+00 -2.8128e+00 -3.2817e+00 -8.9505e-02 -2.9344e+00 -1.8472e+00 -4.3080e+00 -3.2561e-01 +2.9692e+00 -3.1380e+00 +2.1906e+00
83481 +2.427370882e+01 +2.427370882e+01 -4.378162912e+02 -4.620900000e+02 -2.2855e+00 +3.2469e+00 +4.0891e+00 +6.5907e-01 +2.2451e+00 +2.9410e+00 +3.2412e+00 +2.5934e+00 +1.8227e+00 +5.6726e-02 -2.2014e+00 -3.2817e+00 -8.9505e-02 -2.9344e+00 -1.7711e+00 -3.9273e+00 +1.0385e-01 +2.5655e+00 -2.4178e+00 +1.8191e+00
